ingredient,drug_b,severity,side_effects,mechanism,clinical_action,confidence,created_at
carboxymethylcellulose,rosuvastatin,Minor,Reduced absorption of rosuvastatin.,"Carboxymethylcellulose can bind to other drugs in the GI tract, slowing absorption.",Consider spacing administration of rosuvastatin.,1,2026-05-13
carboxymethylcellulose,digoxin,Minor,Reduced absorption of digoxin.,"Carboxymethylcellulose can bind to other drugs in the GI tract, slowing absorption.",Consider spacing administration of digoxin.,1,2026-05-13
trypsin chymotrypsin,warfarin,Moderate,Increased risk of bleeding.,Proteolytic enzymes may interfere with clotting factor synthesis or activity.,Monitor INR closely and consider dose adjustments.,1,2026-05-13
trypsin chymotrypsin,clopidogrel,Moderate,Increased risk of bleeding.,Proteolytic enzymes may have antiplatelet effects or increase bleeding risk.,Monitor for signs of bleeding and consider alternative antiplatelet therapy if necessary.,1,2026-05-13
methyl sulfonyl methane,,,,,,1,2026-05-13
linseed oil,,,,,,1,2026-05-13
flunarizine,atenolol,Moderate,Increased risk of hypotension and bradycardia.,Both drugs can lower blood pressure; additive effects.,Monitor blood pressure and heart rate closely; consider dose reduction.,1,2026-05-13
flunarizine,metoprolol,Moderate,Increased risk of hypotension and bradycardia.,Both drugs can lower blood pressure; additive effects.,Monitor blood pressure and heart rate closely; consider dose reduction.,1,2026-05-13
flunarizine,amlodipine,Moderate,Increased risk of hypotension.,Both drugs can lower blood pressure; additive effects.,Monitor blood pressure closely; consider dose reduction.,1,2026-05-13
flunarizine,losartan,Moderate,Increased risk of hypotension.,Both drugs can lower blood pressure; additive effects.,Monitor blood pressure closely; consider dose reduction.,1,2026-05-13
flunarizine,ramipril,Moderate,Increased risk of hypotension.,Both drugs can lower blood pressure; additive effects.,Monitor blood pressure closely; consider dose reduction.,1,2026-05-13
flunarizine,alprazolam,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
flunarizine,diazepam,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
flunarizine,lorazepam,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
flunarizine,midazolam,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
flunarizine,clonazepam,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
flunarizine,zolpidem,Moderate,Increased sedation and CNS depression.,Additive CNS depressant effects.,Monitor for excessive sedation; consider reducing dose of one agent.,1,2026-05-13
alpha lipoic acid,metformin,Minor,Potential for additive effects on blood glucose; increased risk of hypoglycemia.,Alpha-lipoic acid has glucose-lowering properties.,Monitor blood glucose levels closely; consider dose adjustment of metformin.,1,2026-05-13
alpha lipoic acid,insulin,Minor,Potential for additive effects on blood glucose; increased risk of hypoglycemia.,Alpha-lipoic acid has glucose-lowering properties.,Monitor blood glucose levels closely; consider dose adjustment of insulin.,1,2026-05-13
cefalexin,metformin,Moderate,Increased risk of lactic acidosis.,"Cephalexin can impair renal function, leading to reduced metformin clearance.",Monitor renal function and blood glucose; consider temporary discontinuation of metformin.,1,2026-05-13
cefalexin,warfarin,Moderate,Increased INR and risk of bleeding.,"Cephalexins can affect gut flora, reducing vitamin K production.",Monitor INR closely and adjust warfarin dose as needed.,1,2026-05-13
cefalexin,probenecid,Moderate,Increased serum levels of cephalexin and risk of toxicity.,Probenecid inhibits renal tubular secretion of cephalexin.,Avoid concomitant use or monitor for cephalexin toxicity.,1,2026-05-13
lornoxicam,warfarin,Major,Significantly increased INR and risk of bleeding.,NSAIDs increase bleeding risk and can displace warfarin from protein binding sites.,Avoid concomitant use; monitor INR very closely if unavoidable and adjust warfarin dose.,1,2026-05-13
lornoxicam,aspirin,Major,Increased risk of GI bleeding and ulceration.,Additive antiplatelet and gastric irritant effects.,Avoid concomitant use; monitor for signs of GI bleeding.,1,2026-05-13
lornoxicam,ibuprofen,Major,Increased risk of GI bleeding and ulceration.,Additive NSAID effects on GI mucosa and platelet function.,Avoid concomitant use; monitor for signs of GI bleeding.,1,2026-05-13
lornoxicam,clopidogrel,Major,Increased risk of bleeding.,Additive antiplatelet effects and increased GI risk.,Avoid concomitant use; monitor for signs of bleeding.,1,2026-05-13
lornoxicam,ramipril,Moderate,Increased risk of renal impairment and hyperkalemia.,NSAIDs can reduce renal blood flow and inhibit effects of ACE inhibitors.,Monitor renal function and potassium levels; avoid in patients with renal compromise.,1,2026-05-13
lornoxicam,losartan,Moderate,Increased risk of renal impairment and hyperkalemia.,NSAIDs can reduce renal blood flow and interfere with ARB effects.,Monitor renal function and potassium levels; avoid in patients with renal compromise.,1,2026-05-13
lornoxicam,furosemide,Moderate,Reduced diuretic and antihypertensive effect; increased risk of renal impairment.,"NSAIDs can inhibit prostaglandin synthesis, affecting renal function and sodium excretion.",Monitor for adequate diuresis and blood pressure; monitor renal function.,1,2026-05-13
lornoxicam,lithium,Moderate,Increased serum lithium levels and risk of toxicity.,NSAIDs can reduce renal clearance of lithium.,Monitor serum lithium levels closely; avoid concomitant use if possible.,1,2026-05-13
lornoxicam,methotrexate,Moderate,Increased serum methotrexate levels and risk of toxicity.,NSAIDs can impair renal excretion of methotrexate.,Monitor serum methotrexate levels closely; avoid concomitant use at high-dose methotrexate.,1,2026-05-13
thyroxine,warfarin,Moderate,Increased INR and risk of bleeding.,Thyroxine increases metabolism of vitamin K-dependent clotting factors.,Monitor INR closely and adjust warfarin dose as needed.,1,2026-05-13
thyroxine,metformin,Minor,Thyroxine may decrease glycemic control.,Hyperthyroidism can increase glucose absorption and hepatic glucose production.,Monitor blood glucose levels closely; adjust metformin dose if necessary.,1,2026-05-13
thyroxine,insulin,Minor,Thyroxine may decrease glycemic control.,Hyperthyroidism can increase glucose absorption and hepatic glucose production.,Monitor blood glucose levels closely; adjust insulin dose if necessary.,1,2026-05-13
thyroxine,atorvastatin,Minor,Reduced efficacy of atorvastatin.,Hypothyroidism can decrease the metabolism of statins.,Monitor lipid levels and adjust atorvastatin dose if hypothyroidism is corrected.,1,2026-05-13
thyroxine,rosuvastatin,Minor,Reduced efficacy of rosuvastatin.,Hypothyroidism can decrease the metabolism of statins.,Monitor lipid levels and adjust rosuvastatin dose if hypothyroidism is corrected.,1,2026-05-13
thyroxine,digoxin,Moderate,Reduced efficacy of digoxin.,Hypothyroidism can decrease the sensitivity of the heart to digoxin.,Monitor digoxin levels and clinical response; adjust dose if hypothyroidism is corrected.,1,2026-05-13
thyroxine,phenytoin,Minor,May alter thyroid hormone levels.,Phenytoin can increase thyroid hormone metabolism and binding to TBG.,Monitor thyroid function tests.,1,2026-05-13
thyroxine,carbamazepine,Minor,May alter thyroid hormone levels.,Carbamazepine can increase thyroid hormone metabolism and binding to TBG.,Monitor thyroid function tests.,1,2026-05-13
flupenthixol,amitriptyline,Moderate,Increased anticholinergic effects and sedation.,Additive effects on central nervous system receptors.,Monitor for increased sedation and anticholinergic symptoms; consider dose adjustment.,1,2026-05-13
flupenthixol,diazepam,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,lorazepam,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,clonazepam,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,alprazolam,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,midazolam,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,zolpidem,Moderate,Increased sedation and potential for respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,haloperidol,Major,Increased risk of extrapyramidal symptoms and QTc prolongation.,Both are dopamine receptor antagonists.,Monitor for EPS and QTc interval; consider alternative or dose adjustment.,1,2026-05-13
flupenthixol,clozapine,Major,"Increased risk of sedation, seizures, and agranulocytosis.",Additive CNS effects and potential for increased risk of adverse hematological effects.,"Close monitoring for sedation, seizures, and blood counts is crucial.",1,2026-05-13
flupenthixol,olanzapine,Major,Increased risk of sedation and anticholinergic effects.,"Additive CNS effects, particularly sedation.",Monitor for excessive sedation and anticholinergic symptoms; consider dose adjustment.,1,2026-05-13
flupenthixol,tramadol,Moderate,Increased risk of CNS depression and seizures.,Additive CNS depressant effects.,Monitor for increased sedation and seizures; use with caution.,1,2026-05-13
flupenthixol,codeine,Moderate,Increased risk of CNS depression and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
flupenthixol,morphine,Moderate,Increased risk of CNS depression and respiratory depression.,Additive CNS depressant effects.,Monitor for excessive sedation and respiratory rate; use with caution.,1,2026-05-13
fusidic acid,atorvastatin,Major,Increased risk of myopathy and rhabdomyolysis.,"Fusidic acid inhibits CYP3A4, which metabolizes atorvastatin.","Avoid co-administration; if necessary, monitor closely for muscle pain and weakness.",1,2026-05-13
fusidic acid,rosuvastatin,Moderate,Increased risk of myopathy and rhabdomyolysis.,"Fusidic acid can inhibit transporters (e.g., OATP1B1) involved in rosuvastatin elimination.",Monitor for muscle pain and weakness; consider alternative statin if possible.,1,2026-05-13
ammonium chloride,,,,,,1,2026-05-13
disodium hydrogen citrate,,,,,,1,2026-05-13
milk of magnesia,ciprofloxacin,Major,"Reduced absorption of ciprofloxacin, leading to decreased efficacy.",Cations in antacids bind to fluoroquinolones.,Separate administration by at least 2 hours; monitor for treatment failure.,1,2026-05-13
milk of magnesia,azithromycin,Major,"Reduced absorption of azithromycin, leading to decreased efficacy.",Cations in antacids bind to macrolides.,Separate administration by at least 2 hours; monitor for treatment failure.,1,2026-05-13
